date,type,co,quan,pps,basis,tallq_q,tally_b,Sale
44926,Owned,AMC,1050,4.07,4273.50,1050,4273.50,0
44953,Sell,AMC,-1000,5.51,-5512.40,50,-5512.40,-1000
44946,Buy,AMC,1000,5.63,5625.00,1050,5625.00,0
44949,Buy,AMC,1000,5.79,5788.00,2050,5788.00,0
44953,Buy,AMC,2000,5.24,10478.80,4050,10478.80,0
44960,Sell,AMC,-1000,6.68,-6682.55,3050,-6682.55,-1000
44960,Sell,AMC,-1000,6.26,-6255.00,2050,-6255.00,-1000
44960,Sell,AMC,-1000,6.19,-6190.10,1050,-6190.10,-1000
44967,Buy,AMC,2000,4.75,9490.00,3050,9490.00,0
44967,Buy,AMC,1000,4.78,4780.00,4050,4780.00,0
44970,Buy,AMC,3000,4.73,14188.80,7050,14188.80,0
44970,Buy,AMC,1500,4.72,7077.45,8550,7077.45,0
44970,Buy,AMC,300,4.72,1415.01,8850,1415.01,0
44970,Buy,AMC,2000,4.71,9420.00,10850,9420.00,0
44972,Buy,AMC,4000,4.78,19120.40,14850,19120.40,0
44978,Sell,AMC,-3000,5.86,-17565.00,11850,-17565.00,-3000
44979,Sell,AMC,-6000,6.62,-39690.00,5850,-39690.00,-6000
44984,Sell,AMC,-5850,7.82,-45723.60,0,-45723.60,-5850
44988,Buy,AMC,5000,6.59,32945.50,5000,32945.50,0
44988,Buy,AMC,1000,6.49,6485.00,6000,6485.00,0
44988,Sell,AMC,-3000,6.55,-19653.90,3000,-19653.90,-3000
44992,Buy,AMC,2900,6.15,17832.39,5900,17832.39,0
44992,Buy,AMC,100,6.15,614.50,6000,614.50,0
44993,Sell,AMC,-6000,5.72,-34320.00,0,-34320.00,-6000
45001,Buy,AMC,1000,4.30,4295.00,1000,4295.00,0
45001,Buy,AMC,2000,4.31,8614.80,3000,8614.80,0
45002,Buy,AMC,1000,4.29,4290.00,4000,4290.00,0
45002,Buy,AMC,1000,4.23,4225.00,5000,4225.00,0
45006,Buy,AMC,2000,4.42,8840.00,7000,8840.00,0
45022,Sell,AMC,-2000,4.92,-9830.00,5000,-9830.00,-2000
45036,Sell,AMC,-5000,4.95,-24725.00,0,-24725.00,-5000
45037,Buy,AMC,400,5.01,2004.00,400,2004.00,0
45043,Buy,AMC,700,5.45,3811.50,1100,3811.50,0
45063,Buy,AMC,1000,5.01,5009.00,2100,5009.00,0
45076,Sell,AMC,-1000,4.58,-4582.80,1100,-4582.80,-1000
45079,Sell,AMC,-1100,4.54,-4994.00,0,-4994.00,-1100
